,longitude,latitude,housing_median_age,population,median_income,median_house_value,ocean_proximity,rooms_per_person,houses_per_person
126,-122.22,37.84,50.0,1031.0,7.5,295200.0,3,2.8467507274490784,0.46459747817652763
127,-122.21,37.84,44.0,1358.0,6.0194,292300.0,3,2.5213549337260677,0.43961708394698085
128,-122.21,37.83,40.0,1616.0,7.5544,411500.0,3,3.088490099009901,0.40470297029702973
129,-122.2,37.84,30.0,844.0,6.0666,311500.0,3,2.6196682464454977,0.40639810426540285
130,-122.21,37.84,34.0,1140.0,7.0548,325900.0,3,2.6649122807017545,0.43508771929824563
131,-122.19,37.84,18.0,533.0,11.6017,392600.0,3,3.0337711069418387,0.36397748592870544
132,-122.2,37.84,35.0,1072.0,7.4882,319300.0,3,2.672574626865672,0.41324626865671643
133,-122.21,37.83,34.0,1627.0,6.8976,333300.0,3,3.1130915795943452,0.47080516287645974
134,-122.19,37.83,28.0,463.0,8.2049,335200.0,3,2.863930885529158,0.4103671706263499
135,-122.2,37.83,26.0,542.0,8.401,351200.0,3,2.9317343173431736,0.3892988929889299
136,-122.19,37.83,29.0,661.0,6.8538,368900.0,3,2.7095310136157336,0.4069591527987897
137,-122.19,37.82,32.0,635.0,8.317,365900.0,3,2.8897637795275593,0.4141732283464567
138,-122.2,37.82,37.0,420.0,7.0175,366700.0,3,2.926190476190476,0.41904761904761906
139,-122.2,37.82,39.0,1265.0,6.3302,362800.0,3,2.9802371541501977,0.3952569169960474
142,-122.2,37.81,45.0,1067.0,6.7851,323500.0,3,2.7778819119025306,0.3992502343017807
143,-122.21,37.8,50.0,1260.0,2.8929,216700.0,3,2.2484126984126984,0.4380952380952381
144,-122.21,37.8,38.0,951.0,3.0812,233100.0,3,2.370136698212408,0.5120925341745531
163,-122.25,37.81,46.0,1373.0,3.225,218800.0,3,2.353969410050983,0.5440640932265113
164,-122.25,37.8,42.0,1715.0,2.9345,225000.0,3,2.402332361516035,0.5918367346938775
165,-122.25,37.8,43.0,1359.0,2.1429,250000.0,3,1.739514348785872,0.5312729948491538
166,-122.25,37.8,41.0,1062.0,1.6121,171400.0,3,1.3851224105461393,0.3888888888888889
167,-122.25,37.8,29.0,1335.0,1.3929,193800.0,3,1.848689138576779,0.5790262172284644
168,-122.24,37.79,27.0,1171.0,2.3173,125000.0,3,1.3936806148590948,0.3663535439795047
169,-122.25,37.79,45.0,1475.0,1.7772,97500.0,3,1.2108474576271187,0.31186440677966104
170,-122.25,37.79,50.0,742.0,2.6458,125000.0,3,0.8477088948787062,0.2641509433962264
172,-122.25,37.8,36.0,1645.0,2.2303,116700.0,3,1.0200607902735563,0.33009118541033433
173,-122.25,37.8,43.0,1710.0,1.6504,151800.0,3,1.3707602339181286,0.37660818713450295
177,-122.24,37.8,47.0,1213.0,2.6292,182700.0,3,1.686727122835944,0.45671887881286066
180,-122.24,37.8,49.0,1487.0,2.5238,169300.0,3,1.9085406859448555,0.45527908540685946
183,-122.23,37.8,50.0,1149.0,2.25,123500.0,3,1.5195822454308094,0.36118363794604
185,-122.23,37.79,43.0,4367.0,2.1917,112800.0,3,1.365468284863751,0.2818868788642088
187,-122.23,37.79,30.0,1011.0,1.8854,137500.0,3,0.9881305637982196,0.26013847675568746
188,-122.24,37.79,39.0,1464.0,2.1638,105500.0,3,1.0034153005464481,0.2657103825136612
189,-122.24,37.79,47.0,1237.0,2.125,95500.0,3,1.1091350040420371,0.24494745351657235
191,-122.24,37.79,43.0,1284.0,2.2542,112200.0,3,1.266355140186916,0.2780373831775701
193,-122.25,37.79,39.0,381.0,1.6,112500.0,3,1.20997375328084,0.3228346456692913
195,-122.26,37.8,20.0,1659.0,1.6929,115000.0,3,1.4303797468354431,0.4074743821579265
201,-122.22,37.78,50.0,1525.0,1.4886,128800.0,3,1.259016393442623,0.31278688524590165
202,-122.23,37.78,43.0,1506.0,1.9338,112500.0,3,0.9428950863213812,0.2908366533864542
204,-122.23,37.78,44.0,2813.0,1.6009,118100.0,3,0.8318521151795236,0.2669747600426591
205,-122.23,37.79,48.0,1481.0,2.0375,122500.0,3,1.1451721809588116,0.23160027008777853
206,-122.23,37.79,49.0,859.0,2.293,106300.0,3,1.367869615832363,0.2549476135040745
207,-122.22,37.79,37.0,1608.0,2.1494,132500.0,3,1.4570895522388059,0.3252487562189055
208,-122.23,37.79,30.0,425.0,1.6198,122700.0,3,1.4352941176470588,0.32941176470588235
209,-122.23,37.79,40.0,564.0,1.3281,113300.0,3,1.648936170212766,0.3262411347517731
210,-122.22,37.79,44.0,961.0,3.5156,109500.0,3,1.5473465140478668,0.28303850156087407
213,-122.22,37.79,46.0,1647.0,2.6042,124700.0,3,1.4365513054037644,0.31997571341833636
214,-122.22,37.79,49.0,1201.0,2.5,136700.0,3,1.5203996669442132,0.3530391340549542
215,-122.22,37.79,38.0,2167.0,2.7969,141700.0,3,1.4070143054914628,0.3041070604522381
216,-122.2,37.79,29.0,939.0,2.8321,150000.0,3,1.74653887113951,0.362087326943557
217,-122.21,37.79,47.0,859.0,2.9583,138800.0,3,1.7962747380675204,0.33993015133876603
218,-122.21,37.79,34.0,1517.0,2.8365,139200.0,3,1.5583388266315095,0.34014502307185235
219,-122.21,37.79,35.0,1143.0,2.875,143800.0,3,1.52668416447944,0.33770778652668415
220,-122.21,37.8,39.0,1109.0,3.0682,156500.0,3,1.806131650135257,0.41839495040577096
221,-122.21,37.8,39.0,1221.0,3.0757,151000.0,3,1.6527436527436528,0.3652743652743653
222,-122.2,37.8,43.0,1115.0,4.9559,273000.0,3,2.7309417040358746,0.4080717488789238
225,-122.2,37.8,41.0,804.0,5.1184,239600.0,3,2.574626865671642,0.4228855721393035
226,-122.21,37.8,48.0,506.0,4.0977,229700.0,3,2.610671936758893,0.4980237154150198
227,-122.19,37.8,48.0,610.0,4.744,257300.0,3,2.777049180327869,0.3901639344262295
228,-122.19,37.8,46.0,768.0,4.2727,246900.0,3,2.5234375,0.4322916666666667
229,-122.19,37.79,50.0,462.0,2.9844,179900.0,3,2.0952380952380953,0.39826839826839827
230,-122.2,37.79,40.0,667.0,4.1739,169600.0,3,1.5892053973013494,0.3523238380809595
231,-122.2,37.8,46.0,1059.0,3.8487,203300.0,3,1.927289896128423,0.37677053824362605
233,-122.19,37.79,45.0,1106.0,4.6563,231800.0,3,2.45750452079566,0.4104882459312839
234,-122.19,37.79,28.0,1737.0,2.9297,140500.0,3,1.8100172711571676,0.385146804835924
235,-122.2,37.79,35.0,1009.0,2.3036,126000.0,3,1.7859266600594648,0.3865213082259663
236,-122.2,37.79,49.0,737.0,2.6667,122000.0,3,1.1967435549525103,0.28493894165535955
237,-122.2,37.79,44.0,1354.0,2.619,134700.0,3,1.1971935007385524,0.362629246676514
238,-122.21,37.79,45.0,1530.0,2.4167,139400.0,3,1.3823529411764706,0.30980392156862746
239,-122.2,37.79,45.0,1410.0,2.7788,115400.0,3,1.4333333333333333,0.3404255319148936
240,-122.21,37.78,46.0,1390.0,2.7352,137300.0,3,1.6107913669064748,0.4093525179856115
243,-122.21,37.78,49.0,779.0,3.0536,137500.0,3,1.152759948652118,0.31450577663671375
244,-122.22,37.78,44.0,2269.0,2.3906,111700.0,3,1.3080652269722344,0.26884089907448216
245,-122.21,37.78,43.0,1227.0,1.7188,126800.0,3,1.3871230643846781,0.33170334148329256
246,-122.21,37.78,47.0,753.0,2.625,111300.0,3,1.1699867197875167,0.3200531208499336
247,-122.22,37.77,40.0,547.0,2.8015,114800.0,3,0.903107861060329,0.24680073126142596
248,-122.22,37.78,50.0,1807.0,1.7276,102300.0,3,0.9828444936358606,0.24349750968456005
249,-122.22,37.78,44.0,1700.0,2.0801,131900.0,3,0.9870588235294118,0.2911764705882353
254,-122.2,37.77,49.0,1621.0,2.4338,102400.0,3,1.4016039481801357,0.29796421961752007
255,-122.21,37.77,46.0,1183.0,2.3309,98700.0,3,1.0431107354184277,0.2992392223161454
256,-122.21,37.77,43.0,836.0,2.2604,100000.0,3,1.2165071770334928,0.33133971291866027
257,-122.19,37.77,42.0,900.0,1.8039,92300.0,3,1.0355555555555556,0.2922222222222222
258,-122.2,37.77,39.0,1888.0,2.2562,94800.0,3,1.4242584745762712,0.2844279661016949
259,-122.2,37.77,41.0,1024.0,2.0562,102000.0,3,1.5107421875,0.3330078125
261,-122.2,37.78,39.0,1071.0,3.1167,121600.0,3,1.6358543417366946,0.3510737628384687
262,-122.2,37.78,50.0,1128.0,2.5401,129100.0,3,1.6551418439716312,0.3351063829787234
263,-122.2,37.77,43.0,1537.0,2.898,121400.0,3,1.5810019518542615,0.3148991541964867
264,-122.21,37.78,44.0,1240.0,2.3125,102800.0,3,1.3943548387096774,0.31693548387096776
270,-122.18,37.78,33.0,575.0,3.875,225000.0,3,0.24695652173913044,0.0817391304347826
271,-122.19,37.78,49.0,496.0,5.2328,174200.0,3,2.3850806451612905,0.4213709677419355
273,-122.2,37.78,45.0,869.0,4.5893,163500.0,3,2.0322209436133485,0.3762945914844649
274,-122.18,37.79,39.0,236.0,5.2578,253000.0,3,2.614406779661017,0.4491525423728814
275,-122.18,37.79,41.0,626.0,7.0875,240700.0,3,2.253993610223642,0.34185303514376997
276,-122.18,37.79,46.0,922.0,3.9712,208100.0,3,2.2874186550976137,0.35683297180043383
277,-122.19,37.79,47.0,582.0,2.9514,198100.0,3,2.111683848797251,0.43986254295532645
278,-122.19,37.79,50.0,546.0,2.6667,172800.0,3,1.7472527472527473,0.36813186813186816
279,-122.18,37.81,37.0,620.0,5.4446,336700.0,3,2.65,0.4290322580645161
280,-122.18,37.8,34.0,442.0,6.2838,318200.0,3,3.065610859728507,0.4411764705882353
281,-122.18,37.8,23.0,955.0,6.7527,285800.0,3,2.426178010471204,0.34345549738219894
282,-122.13,37.77,24.0,916.0,7.0712,293000.0,3,2.6844978165938866,0.3537117903930131
283,-122.16,37.79,22.0,4985.0,5.9849,371000.0,3,2.5761283851554664,0.3945837512537613
284,-122.17,37.78,42.0,651.0,3.6875,157300.0,3,2.3410138248847927,0.41013824884792627
285,-122.17,37.77,30.0,1704.0,2.875,135300.0,3,1.9518779342723005,0.4125586854460094
286,-122.18,37.78,43.0,1085.0,3.4205,136700.0,3,1.8294930875576036,0.37511520737327186
287,-122.18,37.78,50.0,713.0,3.2984,160700.0,3,2.302945301542777,0.39831697054698456
288,-122.17,37.78,49.0,468.0,3.875,140600.0,3,1.9081196581196582,0.38675213675213677
290,-122.16,37.77,47.0,570.0,4.375,161900.0,3,2.2035087719298247,0.3824561403508772
291,-122.16,37.77,48.0,446.0,4.7708,156300.0,3,2.190582959641256,0.40358744394618834
292,-122.16,37.77,45.0,968.0,3.5739,176000.0,3,2.4008264462809916,0.39669421487603307
293,-122.16,37.77,39.0,857.0,3.0958,145800.0,3,1.8471411901983663,0.3687281213535589
294,-122.17,37.77,39.0,912.0,3.3958,141900.0,3,1.7675438596491229,0.3530701754385965
295,-122.17,37.77,31.0,1360.0,1.871,90700.0,3,1.7823529411764707,0.3323529411764706
296,-122.17,37.76,41.0,1074.0,1.9356,90600.0,3,1.484171322160149,0.33054003724394787
297,-122.17,37.76,47.0,965.0,2.1842,107900.0,3,2.194818652849741,0.39585492227979274
298,-122.18,37.76,37.0,933.0,2.2917,107000.0,3,1.6881028938906752,0.3429796355841372
299,-122.17,37.76,38.0,987.0,2.4333,98200.0,3,1.7872340425531914,0.3586626139817629
300,-122.18,37.76,50.0,907.0,1.9479,89500.0,3,1.308710033076075,0.27122381477398017
302,-122.18,37.76,49.0,1299.0,1.8407,96700.0,3,1.7767513471901462,0.34719014626635875
303,-122.18,37.77,27.0,396.0,2.0786,97500.0,3,2.2954545454545454,0.39646464646464646
304,-122.18,37.77,42.0,877.0,2.8125,97300.0,3,1.3454960091220067,0.3055872291904219
305,-122.18,37.76,43.0,1111.0,1.8913,91200.0,3,1.8163816381638165,0.33033303330333036
306,-122.19,37.76,49.0,790.0,1.7056,91400.0,3,1.731645569620253,0.34050632911392403
311,-122.2,37.76,47.0,826.0,1.75,85700.0,3,1.3510895883777239,0.33777239709443097
312,-122.19,37.77,41.0,1412.0,2.0469,89300.0,3,1.4419263456090652,0.32152974504249293
313,-122.19,37.77,45.0,1132.0,2.7159,101400.0,3,1.6360424028268552,0.3083038869257951
314,-122.19,37.76,41.0,522.0,1.2083,72500.0,3,1.764367816091954,0.3045977011494253
315,-122.19,37.76,45.0,630.0,1.925,74100.0,3,1.5793650793650793,0.3761904761904762
316,-122.2,37.75,36.0,531.0,1.5809,70000.0,3,1.1412429378531073,0.2504708097928437
317,-122.2,37.76,37.0,1925.0,1.4097,84600.0,3,1.3922077922077922,0.3464935064935065
318,-122.19,37.76,38.0,1144.0,0.7683,81800.0,3,1.30506993006993,0.3068181818181818
319,-122.19,37.75,19.0,1481.0,1.3194,81400.0,3,1.4902093180283593,0.35111411208642807
320,-122.19,37.75,28.0,435.0,0.8012,81800.0,3,1.967816091954023,0.3724137931034483
321,-122.19,37.76,26.0,984.0,1.9479,85800.0,3,1.3140243902439024,0.3079268292682927
322,-122.19,37.74,36.0,567.0,1.1765,87100.0,3,1.4938271604938271,0.2804232804232804
323,-122.18,37.74,42.0,380.0,2.3456,83500.0,3,1.4236842105263159,0.3236842105263158
324,-122.19,37.73,44.0,825.0,2.1538,79700.0,3,1.2921212121212122,0.2957575757575758
325,-122.19,37.74,43.0,417.0,2.5139,83400.0,3,1.6954436450839327,0.37170263788968827
326,-122.19,37.73,45.0,801.0,1.2625,84700.0,3,1.9076154806491885,0.35830212234706615
327,-122.18,37.73,42.0,646.0,2.9063,80000.0,3,1.4071207430340558,0.3065015479876161
328,-122.18,37.73,43.0,855.0,2.5192,76400.0,3,1.6269005847953217,0.3333333333333333
329,-122.18,37.73,44.0,435.0,2.1111,79700.0,3,1.2597701149425287,0.31264367816091954
330,-122.18,37.73,42.0,2736.0,2.455,82400.0,3,1.4890350877192982,0.2850877192982456
331,-122.17,37.74,41.0,1481.0,2.4028,97700.0,3,1.0891289669142472,0.27954085077650237
332,-122.17,37.74,47.0,327.0,2.15,97200.0,3,1.415902140672783,0.41896024464831805
333,-122.17,37.74,43.0,494.0,2.4776,101600.0,3,1.6558704453441295,0.3623481781376518
334,-122.17,37.73,43.0,1231.0,2.1587,86500.0,3,1.1965881397238018,0.2770105605199025
335,-122.18,37.74,35.0,323.0,1.8438,90500.0,3,1.5603715170278638,0.33746130030959753
336,-122.17,37.74,46.0,749.0,3.0298,107600.0,3,1.369826435246996,0.30040053404539385
337,-122.17,37.74,46.0,693.0,2.25,84200.0,3,1.1096681096681096,0.25685425685425683
338,-122.18,37.74,46.0,1339.0,2.2467,88900.0,3,1.5705750560119491,0.2643764002987304
339,-122.18,37.75,45.0,282.0,4.0469,80700.0,3,1.1702127659574468,0.28368794326241137
340,-122.18,37.75,46.0,621.0,1.325,87100.0,3,1.5152979066022545,0.3140096618357488
341,-122.17,37.75,38.0,732.0,1.6196,85100.0,3,1.355191256830601,0.35382513661202186
342,-122.18,37.75,45.0,901.0,2.1731,82000.0,3,1.0987791342952276,0.2885682574916759
343,-122.19,37.75,36.0,482.0,1.9167,82800.0,3,2.336099585062241,0.3112033195020747
344,-122.18,37.75,43.0,652.0,2.069,84600.0,3,1.5889570552147239,0.3266871165644172
345,-122.18,37.75,36.0,651.0,1.712,82100.0,3,1.608294930875576,0.25499231950844853
346,-122.17,37.76,33.0,999.0,2.5625,89300.0,3,1.2812812812812813,0.2862862862862863
347,-122.17,37.75,43.0,907.0,1.9821,98300.0,3,1.7497243660418964,0.33737596471885334
348,-122.17,37.75,41.0,828.0,2.5043,92300.0,3,1.5181159420289856,0.2777777777777778
349,-122.17,37.75,44.0,763.0,2.3281,88800.0,3,1.5963302752293578,0.3328964613368283
350,-122.17,37.75,48.0,935.0,1.4375,90000.0,3,1.8727272727272728,0.3732620320855615
351,-122.16,37.76,45.0,1437.0,2.5122,95500.0,3,1.5998608211551844,0.336812804453723
352,-122.16,37.75,38.0,1516.0,1.5625,91700.0,3,1.620712401055409,0.3179419525065963
353,-122.17,37.75,47.0,597.0,3.1587,100400.0,3,1.6716917922948074,0.3098827470686767
354,-122.17,37.76,40.0,949.0,1.8426,94800.0,3,1.7755532139093784,0.36037934668071653
355,-122.16,37.76,46.0,881.0,4.6696,164300.0,3,2.0737797956867197,0.3427922814982974
356,-122.16,37.76,36.0,1438.0,2.4598,155500.0,3,1.9339360222531294,0.3609179415855355
357,-122.15,37.76,39.0,763.0,6.0749,196900.0,3,2.3892529488859764,0.35386631716906947
358,-122.14,37.77,27.0,1297.0,4.8304,279100.0,3,1.7185813415574402,0.2737085582112567
359,-122.14,37.76,34.0,545.0,5.5701,252800.0,3,2.776146788990826,0.3871559633027523
360,-122.13,37.76,26.0,1222.0,5.37,275400.0,3,2.672667757774141,0.43617021276595747
361,-122.12,37.75,33.0,808.0,6.86,250000.0,3,2.238861386138614,0.27103960396039606
362,-122.12,37.75,28.0,329.0,7.6923,329800.0,3,2.4133738601823707,0.331306990881459
363,-122.14,37.75,36.0,299.0,4.0313,195500.0,3,2.3076923076923075,0.36454849498327757
364,-122.14,37.75,33.0,579.0,6.8323,255900.0,3,2.303972366148532,0.3488773747841105
365,-122.13,37.75,30.0,137.0,4.975,311100.0,3,3.021897810218978,0.36496350364963503
366,-122.13,37.75,36.0,229.0,5.3602,330000.0,3,3.353711790393013,0.40611353711790393
367,-122.13,37.74,41.0,1476.0,5.0,248900.0,3,2.9810298102981028,0.43902439024390244
368,-122.16,37.75,46.0,429.0,2.925,142900.0,3,2.2237762237762237,0.358974358974359
369,-122.15,37.75,40.0,849.0,3.8913,126300.0,3,1.7020023557126032,0.3003533568904594
370,-122.15,37.75,44.0,946.0,3.225,135800.0,3,2.048625792811839,0.3498942917547569
371,-122.15,37.74,41.0,571.0,3.1458,130600.0,3,1.499124343257443,0.3345008756567426
372,-122.16,37.75,24.0,1137.0,2.537,107900.0,3,1.5743183817062445,0.33948988566402816
373,-122.16,37.75,44.0,378.0,2.5568,111100.0,3,1.6322751322751323,0.35714285714285715
374,-122.15,37.74,43.0,853.0,3.5083,122000.0,3,1.6213364595545134,0.31887456037514655
375,-122.15,37.74,49.0,764.0,3.3125,118000.0,3,1.7342931937172774,0.36910994764397903
376,-122.16,37.75,40.0,928.0,1.8235,95200.0,3,1.322198275862069,0.28125
377,-122.16,37.75,35.0,406.0,3.8047,94300.0,3,1.6428571428571428,0.3275862068965517
378,-122.17,37.74,34.0,824.0,2.2917,92500.0,3,1.4842233009708738,0.33980582524271846
379,-122.17,37.75,37.0,835.0,2.4962,91800.0,3,1.6514970059880238,0.31017964071856285
380,-122.16,37.74,43.0,826.0,4.0417,109400.0,3,1.8571428571428572,0.35714285714285715
381,-122.16,37.74,46.0,567.0,3.4844,129500.0,3,1.8148148148148149,0.37213403880070545
383,-122.16,37.74,47.0,533.0,2.625,98200.0,3,1.5459662288930582,0.31144465290806755
384,-122.16,37.74,44.0,609.0,2.0227,103100.0,3,1.8013136288998357,0.3530377668308703
385,-122.29,37.9,49.0,576.0,3.3333,276800.0,3,2.2274305555555554,0.4097222222222222
388,-122.3,37.9,38.0,1027.0,3.5125,224200.0,3,2.2035053554040895,0.495618305744888
390,-122.3,37.89,46.0,815.0,2.8036,211600.0,3,1.8650306748466257,0.4601226993865031
391,-122.3,37.9,15.0,2420.0,4.5824,256100.0,3,2.100413223140496,0.4735537190082645
392,-122.3,37.89,36.0,518.0,3.0208,206300.0,3,2.0791505791505793,0.5328185328185329
394,-122.33,37.89,42.0,551.0,4.5268,207400.0,3,2.4355716878402904,0.4827586206896552
395,-122.34,37.88,37.0,2556.0,1.7375,350000.0,3,1.1975743348982786,0.3615023474178404
397,-122.29,37.88,50.0,523.0,3.8672,216700.0,3,2.3154875717017207,0.4340344168260038
402,-122.27,37.9,42.0,645.0,5.6228,375400.0,3,2.558139534883721,0.39689922480620154
417,-122.26,37.9,37.0,903.0,7.8336,371300.0,3,2.4584717607973423,0.4008859357696567
418,-122.25,37.89,41.0,356.0,6.1593,344000.0,3,3.1601123595505616,0.5084269662921348
421,-122.25,37.89,37.0,987.0,7.5385,350000.0,3,3.0395136778115504,0.45592705167173253
422,-122.25,37.89,42.0,1031.0,6.7138,368600.0,3,2.7769156159068866,0.43452958292919497
427,-122.27,37.88,44.0,989.0,3.0132,272900.0,3,2.277047522750253,0.5561172901921132
432,-122.29,37.88,48.0,1034.0,3.1065,229200.0,3,2.2872340425531914,0.45938104448742745
433,-122.29,37.88,46.0,920.0,2.9926,192100.0,3,2.0597826086956523,0.46195652173913043
435,-122.3,37.88,45.0,749.0,1.475,187500.0,3,0.6048064085447263,0.1829105473965287
437,-122.3,37.87,10.0,228.0,2.1705,150000.0,3,2.206140350877193,0.43859649122807015
438,-122.3,37.86,50.0,287.0,2.75,140600.0,3,1.7386759581881532,0.445993031358885
440,-122.3,37.88,46.0,854.0,2.9,144800.0,3,1.9285714285714286,0.41569086651053866
444,-122.28,37.87,49.0,963.0,1.9805,173700.0,3,2.103842159916926,0.5410176531671859
445,-122.29,37.87,50.0,1129.0,2.6684,185600.0,3,1.6200177147918513,0.45704162976085033
448,-122.28,37.87,46.0,1293.0,2.543,220700.0,3,2.337200309358082,0.5220417633410673
